GUID	ADDRESS	CITY	STATE	ZIP	COUNTRY
4581ec79-e6e6-49f5-92f3-ca46af6a8036	874 Namekagon Lane	Atlanta	Georgia	30375	United States
7ecc487a-aed4-4fab-b0c1-29eb3848b7f3	0778 Warrior Circle	Marietta	Georgia	30066	United States
72930e46-b763-4c2f-b4c2-e0edc9b89076	423 Carioca Hill	Sunnyvale	California	94089	United States
a96ddd3b-145c-478a-a5ea-842c9ea93f3c	1 Morning Court	Atlanta	Georgia	30356	United States
2d985826-2a23-4531-a52b-88e12b8f0e03	00039 Vernon Point	Amarillo	Texas	79165	United States
b4fb75bb-18bf-499d-bb79-0331768bc47a	7 Lawn Court	Morgantown	West Virginia	26505	United States
d6899156-c759-4680-9e33-d5004de1b586	46 Bluejay Park	Orlando	Florida	32868	United States
37b8ca7a-2ac6-458b-b6e4-723fdbaaf704	77260 Northwestern Circle	Tampa	Florida	33647	United States
abaaa102-b2cf-415d-aee6-0985849a354e	44912 Saint Paul Alley	Frankfort	Kentucky	40618	United States
d8908a95-ce20-477b-9ca1-2f0c5f24f0c7	4 Packers Drive	Dayton	Ohio	45470	United States
12e4d9de-d533-4655-8df6-e228e224b96c	9633 International Trail	Huntington	West Virginia	25711	United States
b50282d0-05d6-471a-b9bd-b214858f9f0c	2 Bayside Court	El Paso	Texas	88535	United States
f757ba5b-f57a-47f1-9d63-cc93223873cd	4442 Golf Course Circle	Los Angeles	California	90071	United States
d947c249-4989-4d9b-9ee0-f8528d704227	1675 Ridge Oak Avenue	Providence	Rhode Island	02912	United States
fa98e6b4-7fec-4f65-9b3d-f972a7b521a0	6332 1st Drive	Jacksonville	Florida	32236	United States
a881b532-f60a-497d-94e5-7f4861c95f5a	58 Reindahl Plaza	Pensacola	Florida	32511	United States
e1eebec5-ece1-4f37-b8d6-999075b43965	74 Utah Point	Los Angeles	California	90015	United States
f185b80a-d7c2-4ce5-b6ac-306e17630d2a	1147 Nobel Junction	Kansas City	Missouri	64187	United States
db294533-e96c-449a-84aa-af0178b79d86	0029 Kennedy Place	Irving	Texas	75062	United States
70d05a78-d252-4222-8092-5eee10ed6841	1922 Fulton Trail	Tulsa	Oklahoma	74116	United States
e5013547-06c7-42be-8b54-059a36d092b3	2362 Manley Circle	Chattanooga	Tennessee	37450	United States
c94627c2-b7a1-4329-a6c5-cb7c2fffa671	4 Alpine Alley	El Paso	Texas	79940	United States
6bc73383-7f9c-453a-ab57-6ffc19178be3	72 Caliangt Plaza	Long Beach	California	90847	United States
e21e2065-fa08-48c9-97a8-ed2d1bac999b	244 Lake View Junction	Knoxville	Tennessee	37931	United States
774df452-946a-4eea-ba16-82116125042a	60148 Northfield Parkway	Washington	District of Columbia	20238	United States
89e5000f-1c47-4c1c-895a-1c859e73fec4	52 Haas Plaza	Des Moines	Iowa	50347	United States
99f46090-461f-4a5c-88b2-1801bf61fd01	7488 Bartelt Plaza	Montgomery	Alabama	36177	United States
d175a071-bde0-4934-b501-dc1766f0a431	329 Judy Way	Washington	District of Columbia	20231	United States
9bb50572-bab5-4c9e-a671-0aefdae280c3	81 Huxley Place	New Brunswick	New Jersey	08922	United States
dcd4269c-0f65-459f-a3c3-772a6e3b480b	336 Reinke Junction	Portland	Oregon	97216	United States
5fdf624b-9471-4c90-ada7-4625c9a1a9b1	3 Clemons Alley	Evansville	Indiana	47705	United States
ac064b65-b684-4105-860d-98cfba9f3654	8 Emmet Parkway	Fargo	North Dakota	58122	United States
1f1e55c3-be5a-4427-aba9-f7415c63b47e	7328 Rowland Road	Toledo	Ohio	43615	United States
922aadd5-920c-477e-a1f2-772864be6243	63209 Cambridge Avenue	Lubbock	Texas	79415	United States
52aad4b0-6365-46ef-ade0-eab28d6b0895	3156 Golf Plaza	Brooklyn	New York	11205	United States
ac31d873-9c55-4f79-bfef-35b0e6cee330	61 Union Road	Springfield	Illinois	62756	United States
b9475aef-e2cc-4a80-8808-53019ebe3fc9	2 Crownhardt Place	Fort Lauderdale	Florida	33336	United States
